Supplier Name,Status,Score,Line Of Business,Supplier Number,Services,BuildingNm,Street1Addr,Street2Addr,Street3Addr,CityNm,GeographicLocationCd,CountryCd,PostalCd,TelephoneNum,AddressTypeTp,CreBy,CreDttm,SupplierNm,SupplierTypeCd,EmployeesQty,NatureOfBusinessOrServicesTxt,FirmLegalNm,Operated_Under_Other_Business_,OtherBusinessNm,Subsidiary_Affiliate_Firm_,AffiliatesNm,Legal_Query_,LegalQueryDetailsTxt,IncorporationYr,IncorporationCountryCd,CompanyWebsiteUrl
BLUSOL SANITIZERS DISTRIBUTORS LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLXUP108728,SANCTUARY IN PRINT,TIME OUT PLAZA,1500 Thomas Trace Arena Village,,,ERIN,SIPARIA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,72,359-8222/470-6683,PRIMARY,dynastymodesty@gmail.com,28/06/2023 9:58:30 AM,BLUSOL SANITIZERS DISTRIBUTORS LTD,LIMITED LIABILITY,10,SANCTUARY IN PRINT,BLUSOL SANITIZERS DISTRIBUTORS LTD,NO,,NO,,NO,,2021,TRINIDAD AND TOBAGO,1500 Thomas Trace Arena Village
NOIX DE COCO,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",SPXVW108764,Supply of Goods,,KP Lands,,,VALENCIA,SANGRE GRANDE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,0000,868-460-8112/868-685-2962,PRIMARY,noixdecoco@yahoo.com,30/06/2023 9:38:01 AM,NOIX DE COCO,SOLE PROPRIETORSHIP,1,Supply of Goods,NOIX DE COCO,NO,,NO,,NO,,2019,TRINIDAD AND TOBAGO,
HR QUALITY PRODUCTS AND SERVICES LTD.,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLFSO108259,Retail Trade,,#41 EL RANCHO TROPICAL,O'MEARA ROAD,,ARIMA,ARIMA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,0000,291-0453,PRIMARY,hrqualityproducts64@yahoo.com,30/06/2023 10:48:34 AM,HR QUALITY PRODUCTS AND SERVICES LTD.,LIMITED LIABILITY,5,Retail Trade,HR QUALITY PRODUCTS AND SERVICES LTD.,NO,,NO,,NO,,2023,TRINIDAD AND TOBAGO,
FEN MOHAMMED STORES LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLDEF105372,"RETAIL OF FURNITURE, APPLIANCES, HOUSEHOLD ITEMS, ACCESSORIES",,,,,,,,,,,fensofmarabella1@fenstt.com,30/06/2023 3:07:21 PM,FEN MOHAMMED STORES LTD,LIMITED LIABILITY,200,"RETAIL OF FURNITURE, APPLIANCES, HOUSEHOLD ITEMS, ACCESSORIES",FEN MOHAMMED STORES LTD,NO,,NO,,NO,,1974,TRINIDAD AND TOBAGO,www.fenstt.com
RILCO LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLMUL106034,Technology Supplies and Services,,"#3 Redman Lane, Don Miguel Road",,,SAN JUAN,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,18687141818,PRIMARY,info.rilcoltd@gmail.com,03/07/2023 3:00:54 PM,RILCO LTD,LIMITED LIABILITY,1,Technology Supplies and Services,RILCO LTD,NO,,NO,,NO,,2021,TRINIDAD AND TOBAGO,
HOME EXPRESS LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLAOW109422,wholesale retail ,HOME EXPRESS LTD,5-7 BHAGOUTI TRACE BARATARIA,,,SAN JUAN ,ARIMA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,251714,868-638-1697/ 4810,PRIMARY,david_nahous@hotmail.com,04/07/2023 11:17:24 AM,HOME EXPRESS LTD,LIMITED LIABILITY,7,wholesale retail ,HOME EXPRESS LTD,NO,,NO,,NO,,2000,TRINIDAD AND TOBAGO,
LOBAX & ASSOCIATES LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLOQO101952,FACILITILIES MANAGEMENT,#23,LACKPAT ROAD,EL DORADO,,EL DORADO,TUNAPUNA/PIARCO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,8687589126/3232406,PRIMARY,info@lobaxtt.com,07/07/2023 10:57:20 AM,LOBAX & ASSOCIATES LIMITED,LIMITED LIABILITY,14,FACILITILIES MANAGEMENT,LOBAX & ASSOCIATES LIMITED,NO,NO,NO,NONE,NO,NO,2006,TRINIDAD AND TOBAGO,www.lobaxtt.com
SACH COMPANY OPERATIONS LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLGNF103866,Sales and Services ,,232 S.S Erin Road,,,DEBE,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,738-9926,PRIMARY,sachcoltd@gmail.com,22/07/2023 10:01:47 AM,SACH COMPANY OPERATIONS LIMITED,LIMITED LIABILITY,8,Sales and Services ,SACH COMPANY OPERATIONS LIMITED,NO,,NO,,NO,,2020,TRINIDAD AND TOBAGO,
NUVIA LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLKGH112257,Hygiene services,,58 Coral Gardens,Diamond Vale,,DIEGO MARTIN,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,8687642273,MAILING,info.nuviacaribbean@gmail.com,27/07/2023 2:15:55 PM,NUVIA LIMITED,LIMITED LIABILITY,4,Hygiene services,NUVIA LIMITED,NO,,NO,,NO,,2002,TRINIDAD AND TOBAGO,https://www.facebook.com/NuviaCaribbean
T&T GOODS AND PRODUCTS LTD.,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLRXC111190,Janitorial sales and service,WAREHOUSE #3,"10 Hasmath Ali Drive, Johnny King Rd.",,,ARANGUEZ,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00868,6575223,PRIMARY,info@ttgoodsandproducts.com,04/08/2023 12:58:21 PM,T&T GOODS AND PRODUCTS LTD.,LIMITED LIABILITY,12,Janitorial sales and service,T&T GOODS AND PRODUCTS LTD.,NO,,NO,,NO,,1998,TRINIDAD AND TOBAGO,www.ttgoodsandproducts.com
ALMANDOZ HARDWARE LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLOMS105369,HARDWARE RETAILER,,WILSON ROAD,,,SCARBOROUGH,TOBAGO,TRINIDAD AND TOBAGO,00000,8686392794,PRIMARY,almandoz_hardware@yahoo.com,19/08/2023 9:03:57 PM,ALMANDOZ HARDWARE LTD,LIMITED LIABILITY,23,HARDWARE RETAILER,ALMANDOZ HARDWARE LTD,NO,,NO,,NO,,2000,TRINIDAD AND TOBAGO,www.almandozhardware.com
JAN CLEAN SUPPLIES LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLHPG106893,Supplying Janitorial & Cleaning products,JAN CLEAN SUPPLIES,#46 Diego Martin Main Road,Diego Martin,,PORT-OF-SPAIN,NOT APPLICABLE,TRINIDAD AND TOBAGO,00000,8686883722,PRIMARY,jancleansupplies@gmail.com,11/06/2023 3:57:25 PM,JAN CLEAN SUPPLIES LTD,LIMITED LIABILITY,15,Supplying Janitorial & Cleaning products,JAN CLEAN SUPPLIES LTD,NO,,NO,,NO,,2019,TRINIDAD AND TOBAGO,
PIGALLE'S LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLSUJ106183,"SALE AND DISTRIBUTION OF FOOD ITEMS, HOUSEHOLD ARTICLES, APPLIANCES AND AIR CONDITIONING UNITS",PIGALLE'S LTD,97-101 EASTERN MAIN ROAD,"SUCCESS VILLAGE, LAVENTILLE 260228",,PORT OF SPAIN,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,260228,18682230221/0222,MAILING,pigallestrinidad13@yahoo.com,30/08/2023 10:59:08 AM,PIGALLE'S LIMITED,LIMITED LIABILITY,12,"SALE AND DISTRIBUTION OF FOOD ITEMS, HOUSEHOLD ARTICLES, APPLIANCES AND AIR CONDITIONING UNITS",PIGALLE'S LTD,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,
TOTAL HYGENIC SOLUTION LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLSCV116387,JANITORIAL/ MAINTENANCE/ LANDSCAPING/ CLEANING SUPPLIES,TOTAL HYGENIC SOLUTION LIMITED,821 southern main road Chinese village La-brea,Lot #11 Southern Main Road Chinese village,,PORT OF SPAIN,SIPARIA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,1868,8684622734,PRIMARY,totalhygenicsolution@gmail.com,31/10/2023 7:46:38 AM,TOTAL HYGENIC SOLUTION LIMITED,LIMITED LIABILITY,5,JANITORIAL/ MAINTENANCE/ LANDSCAPING/ CLEANING SUPPLIES,TOTAL HYGENIC SOLUTION LIMITED,NO,,NO,,NO,,2018,TRINIDAD AND TOBAGO,NOT APPLICABLE 
BRNK MARKETING LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLOUT106934,"Supplier of stationery and office supplies, ink toners/ cartridges, grocery consumables and minor equipment.",,LP# 4 Old Tim Street,,,ST. AUGUSTINE ,TUNAPUNA/PIARCO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,234-2171,PRIMARY,brnkmarketing@gmail.com,01/11/2023 4:43:39 PM,BRNK MARKETING LTD,LIMITED LIABILITY,2,"Supplier of stationery and office supplies, ink toners/ cartridges, grocery consumables and minor equipment.",BRNK MARKETING LTD,NO,,NO,,NO,,2019,TRINIDAD AND TOBAGO,
USEFUL THINGS & GENERAL SUPPLIES LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLPJB111684,"Useful Things and General Supplies Limited was officially established in 2014 with the goal of providing high quality customer service, general supplies, outdoor maintenance, stationary, grocery items, janitorial supplies, promotional items, dry goods, events accessories, appliances and a full range of products and services to equip the office environment with the essential tools, and supplies to keep abreast with the ever-changing work environment.  We have also expanded to a full range of items to cover any kind of event.",,,,,,,,,,,theearthisnotflat@live.com,03/11/2023 5:29:57 AM,USEFUL THINGS & GENERAL SUPPLIES LTD,LIMITED LIABILITY,4,"Useful Things and General Supplies Limited was officially established in 2014 with the goal of providing high quality customer service, general supplies, outdoor maintenance, stationary, grocery items, janitorial supplies, promotional items, dry goods, events accessories, appliances and a full range of products and services to equip the office environment with the essential tools, and supplies to keep abreast with the ever-changing work environment.  We have also expanded to a full range of items to cover any kind of event.",USEFUL THINGS & GENERAL SUPPLIES LTD,NO,,NO,,NO,,2014,TRINIDAD AND TOBAGO,
RENTOKIL INITIAL (TRINIDAD) LIMITED,ACCEPTED,1,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLVKS100374,"PEST CONTROL & HYGIENE & WASHROOM SERVICES 
(Products and Services Include: Pest Management, Washroom Hygiene, Washroom Services, Pest Audit, Commercial Pest Control, Residential Pest Control, Sanitary Services, and Floor Care)",RENTOKIL INITIAL ,Field #82 KK-LL Aranguez South,,,ARANGUEZ,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,868-612-0047,PRIMARY,sales-tt@rentokil-initial.com,08/11/2023 7:15:55 AM,RENTOKIL INITIAL (TRINIDAD) LIMITED,LIMITED LIABILITY,150,"PEST CONTROL & HYGIENE & WASHROOM SERVICES 
(Products and Services Include: Pest Management, Washroom Hygiene, Washroom Services, Pest Audit, Commercial Pest Control, Residential Pest Control, Sanitary Services, and Floor Care)",RENTOKIL INTIAL TRINIDAD LIMITED,NO,,NO,,NO,,1961,TRINIDAD AND TOBAGO,https://www.rentokil.tt/
WALLABEES DEVELOPMENT COMPANY LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLAIQ116237,"Construction, Landscaping, Mechanical, Woodworking, Metal Working, Hygiene, AC Supply and Installation Services",,#7 Moraldo Street,,,MARAVAL,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,8683740448,PRIMARY,superjglobal@gmail.com,08/11/2023 11:01:03 AM,WALLABEES DEVELOPMENT COMPANY LTD,LIMITED LIABILITY,4,"Construction, Landscaping, Mechanical, Woodworking, Metal Working, Hygiene, AC Supply and Installation Services",WALLABEES DEVELOPMENT COMPANY LTD,NO,,NO,,NO,,2013,TRINIDAD AND TOBAGO,
ELTINA'S DISTRIBUTORS ,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLFEA105945,"Eltina's Distributors provide a wide variety of paper products, dispensers & consumables.  We offer free delivery services throughout Trinidad and Tobago.",,LOT 3 PANCHOO LANE,BOUNDARY ROAD ,,SAN JUAN ,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,280526,396-7195,PRIMARY,sales@eltinastrinidad.com,15/01/2024 12:00:08 PM,ELTINA'S DISTRIBUTORS ,LIMITED LIABILITY,6,"Eltina's Distributors provide a wide variety of paper products, dispensers & consumables.  We offer free delivery services throughout Trinidad and Tobago.",ELTINA'S DISTRIBUTORS ,NO,,NO,,NO,,2008,TRINIDAD AND TOBAGO,https://eltinasdistributors.com/about-us/
RATEGREEN ENVIRONMENTAL SERVICES LTD ,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLCSU104503,"Landscaping, Hygiene Services, Construction and Maintenance Works",,# 8 Wall Terrace,Saut D'eau Road,,MARAVAL,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,8683599278,PRIMARY,rategreenltd@gmail.com,17/01/2024 10:07:26 AM,RATEGREEN ENVIRONMENTAL SERVICES LTD ,LIMITED LIABILITY,90,"Landscaping, Hygiene Services, Construction and Maintenance Works",RATEGREEN ENVIRONMENTAL SERVICES LTD ,NO,,NO,,NO,,2011,TRINIDAD AND TOBAGO,
BALI'S TOOLS AND HARDWARE SUPPLIES LTD ,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLTDG118407,Building and Construction Materials,,,,,,,,,,,balishardwaresupplies@gmail.com,21/01/2024 7:54:03 PM,BALI'S TOOLS AND HARDWARE SUPPLIES LTD ,LIMITED LIABILITY,3,Building and Construction Materials,BALI'S TOOLS AND HARDWARE SUPPLIES LTD ,NO,,NO,,NO,,2021,TRINIDAD AND TOBAGO,
WESTTEK CONSTRUCTION & SUPPLIES LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLWVC118443,"Construction. Hygiene. Health. Service Provider. Landscaping, Miscellaneous Works",LP#2,Eric William Drive,Simeon Road,,PETIT VALLEY,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,18686849595,PRIMARY,westtek.co@gmail.com,22/01/2024 1:45:52 PM,WESTTEK CONSTRUCTION & SUPPLIES LTD,LIMITED LIABILITY,10,"Construction. Hygiene. Health. Service Provider. Landscaping, Miscellaneous Works",WESTTEK CONSTRUCTION & SUPPLIES LTD,NO,,NO,,NO,,2016,TRINIDAD AND TOBAGO,
J.S.K CONTRACTORS AND HARDWARE LTD ,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLWQQ118127,"General Contracting (Construction, Maintenance etc).
Suppliers of aggregates, building materials, tools, appliances, stationery, parts and medical supplies 
Leasing and rental of heavy equipment. ",,3 Hakim Avenue Caroni South Bank Road El Carmen Piarco,,,PORT OF SPAIN,TUNAPUNA/PIARCO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,8682701010,MAILING,jskcontractorsltd@gmail.com,23/01/2024 10:10:42 PM,J.S.K CONTRACTORS AND HARDWARE LTD ,LIMITED LIABILITY,0,"General Contracting (Construction, Maintenance etc).
Suppliers of aggregates, building materials, tools, appliances, stationery, parts and medical supplies 
Leasing and rental of heavy equipment. ",J.S.K CONTRACTORS AND HARDWARE LTD,NO,,NO,,NO,,2020,TRINIDAD AND TOBAGO,
A.M. SALES AND SERVICES LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLBDM105270,"Industrial, Hardware, Plumbing, Electrical, Agricultural and Pest Control Supplies, 
Civil, Infrastructure and Remedial Works: 
Air Conditioning Works, Landscaping Works, 
Handrail Replacement, Garbage Collection, 
Equipment Rental, Motor Vehicle Wrecking Services",,#2 SOOKOO TRACE,,,CLAXTON BAY,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,1868,354-6769,PRIMARY,aaronsmohammed10@gmail.com,26/01/2024 11:53:18 AM,A.M. SALES AND SERVICES LIMITED,LIMITED LIABILITY,8,"Industrial, Hardware, Plumbing, Electrical, Agricultural and Pest Control Supplies, 
Civil, Infrastructure and Remedial Works: 
Air Conditioning Works, Landscaping Works, 
Handrail Replacement, Garbage Collection, 
Equipment Rental, Motor Vehicle Wrecking Services",A.M. SALES AND SERVICES LIMITED,NO,,NO,,NO,,2018,TRINIDAD AND TOBAGO,
DAVID'S TRADING LIMITED ,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLOQM104342,"Food, Market Goods & Household",,,,,,,,,,,davidstradingltd@hotmail.com,05/02/2024 11:55:48 AM,DAVID'S TRADING LIMITED ,LIMITED LIABILITY,5,"Food, Market Goods & Household",DAVID'S TRADING LIMITIED ,NO,,NO,,NO,,2008,TRINIDAD AND TOBAGO,
CLAYCO,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLICJ105380,"Construction and 
Janitorial Service ",,54 Mt Lambert Circular ,Mt Lambert ,,PORT OF SPAIN ,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,01868,868-216-1082,PRIMARY,Clayco.c@yahoo.com,03/10/2023 7:48:52 PM,CLAYCO,LIMITED LIABILITY,200,"Construction and 
Janitorial Service ",CLAYCO LTD,NO,,NO,,NO,,2023,TRINIDAD AND TOBAGO,
(GALSCO) GENESIS ACCOUNTING LOGISTICS SERVICES CO LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLLWC112194,"CONSTRUCTION, JANITORIAL, ACCOUNTING LOGISTICS, AND LANDSCAPING.",,"#8 PLATINUM DRIVE, LOT 797 UNION HALL DEVELOPMENT,",CROSS CROSSING,,LA ROMAINE,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,8686844412,PRIMARY,kchlange@gmail.com,06/12/2023 2:27:22 PM,(GALSCO) GENESIS ACCOUNTING LOGISTICS SERVICES CO LTD,LIMITED LIABILITY,3,"CONSTRUCTION, JANITORIAL, ACCOUNTING LOGISTICS, AND LANDSCAPING.",(GALSCO) GENESIS ACCOUNTING LOGISTICS SERVICES CO LTD,NO,,NO,,NO,,2019,TRINIDAD AND TOBAGO,
PILOT MANAGEMENT SERVICES LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLJSK111504,Janitorial Services,,,,,,,,,,,chandradayem@pilotmanagementservices.com,29/12/2023 12:11:18 PM,PILOT MANAGEMENT SERVICES LIMITED,LIMITED LIABILITY,300,Janitorial Services,PILOT MANAGEMENT SERVICES LIMITED,NO,,NO,,NO,,2002,TRINIDAD AND TOBAGO,www.pilotmanagementservices.com
ROSE&TEAL,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",SPBRM106727,"General Procurement, Import & Distribution",,"#30 Reserve Rd, Calcutta#2",,,BALMAIN,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,18687813139,PRIMARY,rosetealtt@outlook.com,10/02/2024 3:32:04 PM,ROSE&TEAL,SOLE PROPRIETORSHIP,2,"General Procurement, Import & Distribution",LATOYA FOSTER,NO,,NO,,NO,,2017,TRINIDAD AND TOBAGO,https://www.instagram.com/rosetealtt/
VIKO GENERAL SUPPLIES,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",PNLUV114690,VIKO GENERAL SUPPLIES,,"74 Ghandi Village,Debe",,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,1868,1-868-310-5163,,vikosales4@gmail.com,04/03/2024 10:55:04 PM,VIKO GENERAL SUPPLIES,PARTNERSHIP,10,VIKO GENERAL SUPPLIES,VIKO GENERAL SUPPLIES,NO,,NO,,NO,,2012,TRINIDAD AND TOBAGO,
COCOYEA SUPERMART LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLJTH107418,GROCER ,COCOYEA SUPERMART LIMITED,14 NAPARIMA MAYARO ROAD,COCOYEA VILLAGE,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,60,609-6278,PRIMARY,cocoyeacsl14@gmail.com,14/03/2024 11:57:06 AM,COCOYEA SUPERMART LIMITED,LIMITED LIABILITY,42,GROCER ,COCOYEA SUPERMART LIMITED,YES,VALINI'S DRUGMART LIMITED,NO,,NO,,2002,TRINIDAD AND TOBAGO,
ISLAND CLEANING SERVICES LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLJDC101777,"Cleaning Business- Janitorial Services, Air-Duct Cleaning Services and Grounds Maintenance",,57 Sellier Street,,,ST. AUGUSTINE,TUNAPUNA/PIARCO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,331305,6622000,PRIMARY,saleenr@islandgrouptt.com,16/02/2024 9:08:38 AM,ISLAND CLEANING SERVICES LIMITED,LIMITED LIABILITY,40,"Cleaning Business- Janitorial Services, Air-Duct Cleaning Services and Grounds Maintenance",ISLAND CLEANING SERVICES LIMITED,NO,,NO,,NO,,2009,TRINIDAD AND TOBAGO,www.islandgrouptt.com
SMCR SERVICES LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLUTW116908,"- Commercial and Domestic Maintenance Works. 
- Civil Construction Works. 
- Rental of Scaffolding and Equipment 
- Health, Safety, Environment and Quality Consultancy
- Supply of Materials 
- Labor Supply 
",,,,,,,,,,,smcrserviceslimited@gmail.com,02/05/2024 9:03:11 AM,SMCR SERVICES LIMITED,LIMITED LIABILITY,8,"- Commercial and Domestic Maintenance Works. 
- Civil Construction Works. 
- Rental of Scaffolding and Equipment 
- Health, Safety, Environment and Quality Consultancy
- Supply of Materials 
- Labor Supply 
","SMCR SERVICES [SAMAI MAINTENANCE, CONSTRUCTION AND RENTAL SERVICES] LIMITED",YES,,NO,,NO,,2020,TRINIDAD AND TOBAGO,
VEKRIA CORPORATION LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLKXD106498,"Supplies, Equipment Rental and Construction ",,26 Ruby Avenue ,Emerald Park,,PHILLIPINE,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,+18686809328,,vekriacorporation@gmail.com,06/05/2024 11:34:20 AM,VEKRIA CORPORATION LIMITED,LIMITED LIABILITY,10,"Supplies, Equipment Rental and Construction ",VEKRIA CORPORATION LIMITED,NO,,NO,,NO,,2010,TRINIDAD AND TOBAGO,
MIX AND FIX SERVICES ,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",SPXJT118115,"Construction, Maintenance, Landscaping, Power washing, Road Rehabilitation, Landscaping, Plumbing, Electrical, Air Condition Supply / Installation and Supply and Transportation of Aggregates.  
Additionally, Mix and Fix Services covers areas of fabrication, carpentry, masonry, painting, box drain construction etc.   
",,"#25 Gopaul Avenue,  "," Lamont Street,","Longdenville,",CHAGUANAS,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,3896008,PRIMARY,mixandfixservices@gmail.com,08/05/2024 9:32:35 AM,MIX AND FIX SERVICES ,SOLE PROPRIETORSHIP,3,"Construction, Maintenance, Landscaping, Power washing, Road Rehabilitation, Landscaping, Plumbing, Electrical, Air Condition Supply / Installation and Supply and Transportation of Aggregates.  
Additionally, Mix and Fix Services covers areas of fabrication, carpentry, masonry, painting, box drain construction etc.   
",MIX AND FIX SERVICES ,NO,,NO,,NO,,2017,TRINIDAD AND TOBAGO,
RELIABLE ACCOUNTING & MANAGEMENT SERVICES LTD,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLIGE110382,"General Contractors, Accounting Services, Management services",,"#4 SOUTHERN MAIN ROAD,",ST. MARGARET'S VILLAGE,,CLAXTON BAY,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,0000,659-0186,PRIMARY,reliable.accounting@yahoo.com,13/05/2024 1:36:00 PM,RELIABLE ACCOUNTING & MANAGEMENT SERVICES LTD,LIMITED LIABILITY,5,"General Contractors, Accounting Services, Management services",RELIABLE ACCOUNTING AND MANAGEMENT SERVICES LTD,NO,,NO,,NO,,2015,TRINIDAD AND TOBAGO,
DARIVA SALES AND MARKETING LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLTMB100441,SAFETY AND INDUSTRIAL  SUPPLIES,,LP#1539/2,"BELLE VUE #3, POINT D'OR",LA BREA,POINT FORTIN,POINT FORTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,630330,3563611,PRIMARY,darivasales2020@gmail.com,02/04/2024 3:14:39 PM,DARIVA SALES AND MARKETING LIMITED,LIMITED LIABILITY,4,SAFETY AND INDUSTRIAL  SUPPLIES,DARIVA SALES AND MARKETING LIMITED,NO,,NO,,NO,,2020,TRINIDAD AND TOBAGO,
LADNEK LIMITED,NEW,0,"Toilet tissue dispensersLEVEL 1 (0 - $100,000.00)",LLJKD105487,"PROVIDER OF FACILITIES MANAGEMENT SERVICES INCLUDING JANITORIAL, HYGIENE, SANITIZATION, ELECTROSTATIC DISINFECTION, GROUNDS AND FLEET MAINTENANCE, AIR DUCT/ VENTILATION CLEANING AND/OR INSPECTION, CAR DETAILING AND MINOR CIVIL WORKS INCLUSIVE OF PAINTING & CONSTRUCTION.
ADDITIONALLY, WE PROVIDE CLEANING, HYGIENE AND PAPER PRODUCTS.",LADNEK LIMITED,#77 SOUTHERN MAIN ROAD,BAMBOO VILLAGE,LA ROMAINE,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,12345,1-868-241-3124,PRIMARY,kendal@ladnek.com,18/04/2024 11:26:31 AM,LADNEK LIMITED,LIMITED LIABILITY,190,"PROVIDER OF FACILITIES MANAGEMENT SERVICES INCLUDING JANITORIAL, HYGIENE, SANITIZATION, ELECTROSTATIC DISINFECTION, GROUNDS AND FLEET MAINTENANCE, AIR DUCT/ VENTILATION CLEANING AND/OR INSPECTION, CAR DETAILING AND MINOR CIVIL WORKS INCLUSIVE OF PAINTING & CONSTRUCTION.
ADDITIONALLY, WE PROVIDE CLEANING, HYGIENE AND PAPER PRODUCTS.",LADNEK LIMITED,NO,,NO,,NO,,2012,TRINIDAD AND TOBAGO,www.ladnek.com
